student_id,question_id,time_taken,correct,attempts,avg_score,past_accuracy,difficulty
1,101,25,1,1,85,88,Easy
2,102,60,0,2,72,70,Medium
3,103,95,0,3,65,60,Hard
4,104,30,1,1,90,92,Easy
5,105,75,0,2,68,66,Medium
6,106,110,0,4,55,50,Hard
7,107,20,1,1,88,90,Easy
8,108,80,0,3,60,58,Hard
9,109,50,1,2,78,75,Medium
10,110,40,1,1,82,80,Easy
11,111,100,0,3,58,55,Hard
12,112,65,0,2,70,68,Medium
13,113,28,1,1,92,94,Easy
14,114,85,0,3,62,60,Hard
15,115,55,1,2,76,74,Medium
16,116,35,1,1,87,89,Easy
17,117,105,0,4,50,48,Hard
18,118,70,0,2,69,67,Medium
19,119,22,1,1,91,93,Easy
20,120,90,0,3,63,61,Hard
21,121,45,1,2,80,78,Medium
22,122,27,1,1,89,91,Easy
23,123,115,0,4,52,50,Hard
24,124,68,0,2,71,69,Medium
25,125,33,1,1,86,88,Easy
26,126,92,0,3,64,62,Hard
27,127,58,1,2,77,75,Medium
28,128,24,1,1,93,95,Easy
29,129,108,0,4,54,52,Hard
30,130,72,0,2,73,71,Medium
